Designator,Mid X,Mid Y,Rotation,Layer
A1,180.08,-83.5,0.0,top
C1,195.245,-64.25,180.0,top
C2,198.425,-64.25,180.0,top
C3,205.15,-52.09,90.0,top
C4,191.2,-73.32,90.0,top
C5,148.12,-77.475,180.0,top
C6,151.05,-77.475,0.0,top
D1,215.91,-69.655,90.0,top
D2,206.375,-52.09,270.0,top
D3,209.245,-55.75,0.0,top
D4,208.925,-57.7675,270.0,top
D5,204.3025,-75.975,90.0,top
D6,190.51,-75.95,90.0,top
P1,216.05,-60.0,90.0,top
Q1,188.51,-73.3,90.0,top
Q10,187.565,-62.54,180.0,top
Q11,206.675,-60.275,270.0,top
Q12,202.8125,-60.3,180.0,top
Q2,202.3025,-73.3,90.0,top
Q3,179.95,-81.4,270.0,top
Q4,175.05,-81.4,270.0,top
Q5,206.4375,-54.725,0.0,top
Q6,187.05,-57.275,90.0,top
Q7,190.8875,-57.35,0.0,top
Q8,202.275,-54.725,90.0,top
Q9,191.4275,-62.64,270.0,top
R1,183.375,-77.5625,90.0,top
R10,188.51,-69.475,90.0,top
R11,202.3025,-69.5,90.0,top
R12,187.54,-76.625,180.0,top
R13,201.3325,-76.625,180.0,top
R14,171.875,-82.0125,270.0,top
R15,183.375,-81.5125,90.0,top
R16,179.975,-77.6625,90.0,top
R17,175.05,-77.6625,90.0,top
R18,202.15,-57.125,270.0,top
R19,203.05,-57.12,270.0,top
R2,217.285,-74.33,90.0,top
R20,186.925,-59.695,90.0,top
R21,187.825,-59.695,90.0,top
R22,191.55,-60.225,90.0,top
R23,190.65,-60.22,90.0,top
R24,206.825,-57.85,90.0,top
R25,205.9,-57.85,90.0,top
R3,215.91,-74.325,90.0,top
R4,214.535,-74.35,90.0,top
R5,209.4,-62.93,270.0,top
R6,213.03,-53.375,0.0,top
R7,203.265,-47.75,0.0,top
R8,203.255,-49.04,0.0,top
SW1,195.2775,-73.3,0.0,top
SW2,208.1275,-73.3,0.0,top
U1,159.55,-65.03,90.0,top
U2,196.84,-57.515,270.0,top
